topology,policy,injection_rate,power_cap,run_name,converged,latency_avg,control_latency_avg,batch_latency_avg,control_p99,batch_p99,control_throughput,batch_throughput,power_avg,power_peak,freq_avg,freq_min,throughput,elapsed_time,error,batch_nlat_p99,batch_p99_avg,batch_p99_csv,batch_plat_p99,batch_throughput_csv,control_nlat_p99,control_p99_avg,control_p99_csv,control_plat_p99,control_throughput_csv,exit_code,exp_id,summary_batch_p99,summary_control_p99,summary_policy,summary_power_cap,summary_total_power_avg
flatfly,hw_reactive,0.2,0.3,flatfly_hw_reactive_inj0.2_cap0.3,True,22.4687,22.3958,22.4687,64,73,0.059816,0.140327,0.5260587142857143,0.671601,0.637967375,0.5,,35.88159799575806,,39,28.571428571428573,39,39,6.410000000000001,39,28.285714285714285,39,39,2.736742857142857,255,22,39,39,hw_reactive,0.3,0.526059
flatfly,hw_reactive,0.2,0.4,flatfly_hw_reactive_inj0.2_cap0.4,True,22.4687,22.3958,22.4687,64,73,0.059816,0.140327,0.5260587142857143,0.671601,0.637967375,0.5,,36.51853275299072,,39,28.571428571428573,39,39,6.410000000000001,39,28.285714285714285,39,39,2.736742857142857,255,23,39,39,hw_reactive,0.4,0.526059
flatfly,hw_reactive,0.2,0.5,flatfly_hw_reactive_inj0.2_cap0.5,True,19.7012,19.6143,19.7012,61,60,0.0598154,0.140274,0.5859386666666667,0.748582,0.6626393125000001,0.560453,,52.71065616607666,,34,26.333333333333332,37,35,6.979044444444444,34,25.88888888888889,37,34,2.9792666666666667,255,24,34,34,hw_reactive,0.5,0.585939
flatfly,hw_reactive,0.2,0.6,flatfly_hw_reactive_inj0.2_cap0.6,True,18.4193,18.3202,18.4193,53,58,0.0597672,0.140376,0.6179021666666666,0.671601,0.7656937500000001,0.5,,37.899698972702026,,30,22.5,33,30,5.983016666666667,30,21.5,33,30,2.5532333333333335,255,25,30,30,hw_reactive,0.6,0.617902
flatfly,hw_reactive,0.2,0.7,flatfly_hw_reactive_inj0.2_cap0.7,True,16.6809,16.5907,16.6809,50,57,0.0597682,0.140382,0.6880951666666667,0.711541,0.9226318125,0.5,,40.22868824005127,,27,20.666666666666668,30,27,5.983249999999999,27,20.666666666666668,30,27,2.553316666666667,255,26,27,27,hw_reactive,0.7,0.688095
flatfly,hw_reactive,0.2,0.8,flatfly_hw_reactive_inj0.2_cap0.8,True,16.629,16.5392,16.629,55,60,0.0597682,0.140382,0.6901681666666667,0.723068,0.939962625,0.5,,37.23469686508179,,26,20.666666666666668,30,27,5.983266666666666,27,20.666666666666668,30,27,2.553316666666667,255,27,26,27,hw_reactive,0.8,0.690168
flatfly,hw_reactive,0.2,1.0,flatfly_hw_reactive_inj0.2_cap1.0,True,16.629,16.5392,16.629,55,60,0.0597682,0.140382,0.6901681666666667,0.723068,0.939962625,0.5,,37.265655755996704,,26,20.666666666666668,30,27,5.983266666666666,27,20.666666666666668,30,27,2.553316666666667,255,28,26,27,hw_reactive,1,0.690168
flatfly,hw_reactive,0.4,0.3,flatfly_hw_reactive_inj0.4_cap0.3,True,45.3999,45.3796,45.3999,393,444,0.120092,0.279638,0.5653541428571429,0.71974,0.6299921875,0.5,,53.46687316894531,,154,97.57142857142857,158,155,12.774471428571427,154,99.57142857142857,159,154,5.488785714285714,255,29,154,154,hw_reactive,0.3,0.565354
flatfly,hw_reactive,0.4,0.4,flatfly_hw_reactive_inj0.4_cap0.4,True,45.3999,45.3796,45.3999,393,444,0.120092,0.279638,0.5653541428571429,0.71974,0.6299921875,0.5,,53.28408598899841,,154,97.57142857142857,158,155,12.774471428571427,154,99.57142857142857,159,154,5.488785714285714,255,30,154,154,hw_reactive,0.4,0.565354
flatfly,hw_reactive,0.4,0.5,flatfly_hw_reactive_inj0.4_cap0.5,True,43.7814,43.8215,43.7814,442,428,0.12009,0.279645,0.5792390000000001,0.71974,0.6949728749999999,0.5,,54.02479100227356,,153,97.0,160,153,12.774714285714285,152,98.57142857142857,160,152,5.488714285714286,255,31,153,152,hw_reactive,0.5,0.579239
