epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,1,0.583292,0,0.583292,5832.92,0,5832.92,1752.27,4080.65
3,30000,0,1,0.597407,0,0.597407,5974.07,0,5974.07,1796.16,4177.92
4,40000,0,0.908998,0.742355,0,0.742355,7423.55,0,7423.55,2236.73,5186.82
5,50000,0,0.908998,0.759816,0,0.759816,7598.16,0,7598.16,2281.47,5316.7
6,60000,0,0.759534,0.589726,0,0.589726,5897.26,0,5897.26,1767.22,4130.04
7,70000,0,0.759534,0.602157,0,0.602157,6021.57,0,6021.57,1814.14,4207.43
8,80000,0,0.565046,0.603548,0,0.603548,6035.48,0,6035.48,1812.48,4223
9,90000,0,0.565046,0.616951,0,0.616951,6169.51,0,6169.51,1861.45,4308.06
10,100000,0,1,0.627334,0,0.627334,6273.34,0,6273.34,1883.48,4389.86
11,110000,0,1,0.640091,0,0.640091,6400.91,0,6400.91,1913.79,4487.12
