epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.0680334,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.70489,-0.00489047,0.736462,21,24,24,0,0.0006,0,0,0,0,0,21,40,44,2,0.0022,0,0,0,0,0
3,30000,0.721427,-0.0214274,0.73145,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0
4,40000,0.697911,0.00208877,0.723066,30,90,145,0,11.5088,0,0,0.0027875,0.328269,3.32108,30,89,144,3,26.8725,6.25e-06,0,0.0067125,0.772613,7.60125
5,50000,0.712812,-0.0128124,0.721015,30,86,143,0,11.5179,0,0,0.0030625,0.298456,3.25737,30,86,139,3,26.8105,0,0,0.00780625,0.699906,7.42254
6,60000,0.710611,-0.0106113,0.719281,39,145,253,0,11.5744,0.0131938,0.00550625,0.0697938,0.838113,4.33395,39,145,254,3,26.8907,0.0318375,0.0145188,0.159606,1.95342,9.97689
7,70000,0.724947,-0.0249466,0.72009,38,150,270,0,11.5343,0.007975,0.00739375,0.0601438,0.929381,4.23759,38,150,275,3,26.8382,0.019425,0.015625,0.146575,2.11382,9.88723
8,80000,0.694147,0.00585349,0.716847,120,1056,1900,1605,10.7948,5.73042,1.1397,4.58734,2.60435,4.6479,91,652,1262,3026,20.1185,4.79998,1.21573,5.16221,4.37258,9.33084
9,90000,0.693991,0.00600902,0.714308,233,1403,2361,3617,10.9663,9.78989,2.04506,7.68151,2.12857,4.68983,172,779,1352,11109,16.2791,5.31196,1.84174,6.06666,2.45668,7.95926
10,100000,0.924005,-0.224005,0.735278,125,937,1822,6153,12.1314,7.36016,1.64946,6.29218,1.96861,5.62166,96,499,979,18770,27.1628,6.41866,2.04286,7.39681,3.58414,14.8592
11,110000,0.943508,-0.243508,0.754208,80,842,1855,9343,11.7999,5.75593,1.3559,5.01221,1.74854,4.75534,70,455,916,29150,27.8203,4.89738,1.64327,6.29646,3.51439,13.2076
12,120000,0.707497,-0.0074966,0.750315,273,1268,2240,5323,10.6486,8.68279,2.27141,6.36073,3.08291,5.44977,231,831,1383,30726,16.3851,5.11483,2.13693,5.97486,4.41118,9.4768
13,130000,0.707451,-0.00745128,0.747018,304,1701,2984,8615,10.8199,12.4256,2.99315,7.7864,2.16787,4.65746,228,882,1570,23135,12.6901,4.59799,2.00782,4.67939,1.91118,6.57306
14,140000,0.684328,0.0156719,0.74254,298,1302,2433,13146,11.4085,7.49397,1.57984,6.99554,2.73444,7.0534,260,784,1352,53072,15.4751,3.99808,1.53353,5.3531,3.53192,10.6904
15,150000,0.687841,0.0121588,0.738893,288,1579,3185,13304,10.6749,9.69972,1.92838,7.58061,2.02979,5.35532,232,845,1414,54666,13.8112,4.11929,1.51425,4.88419,2.02898,8.21282
16,160000,1.03749,-0.337487,0.757555,489,2527,8698,24801,0,0,0,0,0,0,157,609,1047,53761,0,0,0,0,0,0
