epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,0.0319666,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.762748,0.0372523,0.765391,19,29,29,0,0.0012,0,0,0,0,0,15,31,31,1,0.0031,0,0,0,0,0
3,30000,0.760288,0.0397116,0.76369,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0
4,40000,0.757001,0.0429988,0.762018,23,42,58,0,11.5198,0,0,0,0.0408125,2.06907,22,42,58,3,26.8973,0,0,0,0.0929062,4.76343
5,50000,0.729163,0.0708372,0.755447,34,123,213,0,11.488,0.00015625,0,0.0111625,0.659763,3.75333,33,121,210,3,26.7445,0.00036875,0,0.0268313,1.48264,8.63139
6,60000,0.597673,0.202327,0.729151,260,1133,2051,1217,10.6994,5.90713,1.62404,5.4025,3.50721,5.95067,222,778,1280,3490,17.2495,3.59251,1.60779,5.36963,5.57609,10.5848
7,70000,0.867866,-0.0678657,0.748967,114,937,1892,3270,11.9887,6.7803,1.62363,5.75473,2.28478,5.12766,92,510,956,11830,26.5288,5.99116,2.10244,6.96302,4.52881,13.0985
8,80000,0.622876,0.177124,0.733206,275,1223,2190,5992,10.9235,7.20401,1.93244,6.33364,2.42627,5.91964,234,781,1308,15066,16.1161,4.12108,1.78686,5.49579,3.34979,9.73477
9,90000,0.916332,-0.116332,0.753553,115,833,1821,8402,12.3119,5.77637,1.23359,5.76367,2.07125,5.77982,96,453,846,29807,28.7536,5.14589,1.65682,7.12265,4.21976,15.8047
10,100000,0.756846,0.0431541,0.753883,261,1198,2175,2591,10.8267,9.2372,2.57416,6.65406,3.81882,5.17331,219,816,1465,31021,17.7894,6.52848,3.12487,6.72001,6.07596,9.31264
11,110000,0.936977,-0.136977,0.770528,137,973,1900,5341,11.8287,7.79121,1.90824,6.45555,2.60018,4.92426,105,587,1071,37471,25.3671,7.59506,2.53034,8.22335,5.09219,12.0993
12,120000,0.77243,0.0275697,0.770686,242,1343,2558,8252,10.9173,10.6911,2.79042,7.35831,2.41578,4.86749,193,806,1455,43554,16.5413,5.69112,2.69418,5.92117,3.39392,8.42997
13,130000,0.939423,-0.139423,0.783666,160,1119,2218,8738,11.9565,9.04911,2.11631,6.81921,2.47654,5.35805,120,558,1030,43238,23.8806,5.83233,2.47596,6.80678,4.36289,12.1356
14,140000,0.873201,-0.0732011,0.790061,210,1401,2652,9240,10.871,12.3269,3.15419,7.48121,2.34802,4.01692,161,793,1454,57426,17.0613,6.91903,3.33545,6.19907,3.43816,7.25358
15,150000,0.936176,-0.136176,0.799802,198,1166,2238,11707,12.1624,8.9651,2.04847,7.59409,2.94396,5.55594,153,637,1187,72774,21.6746,6.57811,2.44766,7.66516,4.74961,10.9001
16,160000,0.954856,-0.154856,0.809493,493,1891,3465,11048,0,0,0,0,0,0,203,945,1607,77834,0,0,0,0,0,0
17,170000,0.916579,-0.116579,0.815792,518,4537,7397,12686,0,0,0,0,0,0,233,914,1529,95435,0,0,0,0,0,0
