epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.9,0.762748,0,0.762748,7627.48,0,7627.48,2281.5,5345.98
3,30000,0,1,0.760288,0,0.760288,7602.88,0,7602.88,2270.75,5332.14
4,40000,0,0.9,0.757001,0,0.757001,7570.01,0,7570.01,2268.59,5301.42
5,50000,0,1,0.729163,0,0.729163,7291.63,0,7291.63,2192.96,5098.67
6,60000,0,0.524155,0.597673,0,0.597673,5976.73,0,5976.73,2303.12,3673.61
7,70000,0,1,0.867866,0,0.867866,8678.66,0,8678.66,2686.72,5991.94
8,80000,0,0.515241,0.622876,0,0.622876,6228.76,0,6228.76,2528.78,3699.99
9,90000,0,1,0.916332,0,0.916332,9163.32,0,9163.32,2727.51,6435.82
10,100000,0,0.544863,0.756846,0,0.756846,7568.46,0,7568.46,2878.97,4689.48
11,110000,0,1,0.936977,0,0.936977,9369.77,0,9369.77,2966.61,6403.16
12,120000,0,0.513642,0.77243,0,0.77243,7724.3,0,7724.3,3082.22,4642.08
13,130000,0,1,0.939423,0,0.939423,9394.23,0,9394.23,3122.42,6271.81
14,140000,0,0.5625,0.873201,0,0.873201,8732.01,0,8732.01,3411.86,5320.15
15,150000,0,1,0.936176,0,0.936176,9361.76,0,9361.76,3356.62,6005.14
16,160000,0,0.652677,0.954856,0,0.954856,9548.56,0,9548.56,3569.03,5979.53
17,170000,0,1,0.916579,0,0.916579,9165.79,0,9165.79,3358.8,5806.99
