epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,-0.41974,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.606453,-0.306453,0.663097,20,20,20,0,0.0003,0,0,0,0,0,20,26,26,1,0.002,0,0,0,0,0
3,30000,0.543007,-0.243007,0.623067,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0
4,40000,0.499207,-0.199207,0.592102,30,61,84,0,7.7047,0,0,0,0.0186375,1.44786,30,61,84,2,17.8908,0,0,0,0.0424312,3.31024
5,50000,0.471679,-0.171679,0.568017,36,83,116,0,7.6601,0,0,1.25e-05,0.0435125,1.92889,36,83,115,2,17.8464,0,0,1.875e-05,0.0976812,4.44921
6,60000,0.477644,-0.177644,0.552955,38,91,129,0,7.6921,6.25e-06,0,0.00039375,0.0492062,2.12086,38,90,128,2,17.9833,6.25e-06,0,0.00055625,0.114025,4.91198
7,70000,0.473616,-0.173616,0.541621,42,101,143,0,7.6827,0,0,3.125e-05,0.0604375,2.34499,41,101,143,2,17.8544,0,0,0.00011875,0.139981,5.41115
8,80000,0.489311,-0.189311,0.535082,40,96,140,0,7.6646,0,0,0.0001125,0.0485375,2.21426,39,95,136,2,17.8555,0,0,6.25e-05,0.114256,5.11765
9,90000,0.504727,-0.204727,0.531709,39,93,132,0,7.7479,0,0,1.25e-05,0.0525562,2.18696,39,93,132,2,17.9457,0,0,0.0001125,0.120219,5.0106
10,100000,0.515691,-0.215691,0.530107,38,87,124,0,7.668,0,0,0.00010625,0.04375,2.04007,38,86,123,2,17.8855,0,0,5.625e-05,0.0957937,4.74864
