epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.899314,0.606453,0,0.606453,6064.53,0,6064.53,1821.85,4242.69
3,30000,0,0.817723,0.552281,0,0.552281,5522.81,0,5522.81,1660.42,3862.39
4,40000,0,0.673179,0.528592,0,0.528592,5285.92,0,5285.92,1592.58,3693.34
5,50000,0,0.601421,0.511702,0,0.511702,5117.02,0,5117.02,1536.59,3580.43
6,60000,0,0.606183,0.514929,0,0.514929,5149.29,0,5149.29,1543.01,3606.28
7,70000,0,0.554405,0.502541,0,0.502541,5025.41,0,5025.41,1514.11,3511.3
8,80000,0,0.526859,0.505368,0,0.505368,5053.68,0,5053.68,1517.66,3536.02
9,90000,0,0.546979,0.516805,0,0.516805,5168.05,0,5168.05,1559.43,3608.62
10,100000,0,0.558061,0.527868,0,0.527868,5278.68,0,5278.68,1584.69,3693.98
