epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.671601,-0.271601,0.671601,16,22,24,0,3.8437,0,0,0,6.25e-06,0.07235,16,22,24,1,8.9454,0,0,0,0,0.165644
2,20000,0.369313,0.030687,0.520457,29,38,38,0,0.0009,0,0,0,0,0,27,33,33,1,0.0024,0,0,0,0,0
3,30000,0.709158,-0.309158,0.583358,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0
4,40000,0.388268,0.0117319,0.534585,26,37,43,0,3.8107,0,0,0,0,0.216044,26,37,43,1,8.9837,0,0,0,1.25e-05,0.499962
5,50000,0.746948,-0.346948,0.577058,16,22,24,0,3.8128,0,0,0,0,0.0728063,16,22,24,1,8.9573,0,0,0,0,0.16645
6,60000,0.407321,-0.0073211,0.548768,26,37,43,0,3.8483,0,0,0,0,0.218219,26,37,43,1,9.0063,0,0,0,0,0.504556
7,70000,0.771308,-0.371308,0.58056,16,23,25,0,3.8418,0,0,0,0,0.0742625,16,23,25,1,8.9784,0,0,0,0,0.171025
8,80000,0.425883,-0.0258831,0.561225,26,37,43,0,3.8195,0,0,0,0,0.21575,26,37,43,1,8.9586,0,0,0,0,0.497937
9,90000,0.772392,-0.372392,0.584688,17,23,25,0,3.8359,0,0,0,0,0.0826563,17,23,25,1,8.9831,0,0,0,0,0.190375
10,100000,0.444702,-0.0447022,0.57069,26,36,42,0,3.8517,0,0,0,0,0.208725,26,36,42,1,8.9087,0,0,0,0,0.491212
