epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.671601,0,0.671601,6716.01,0,6716.01,2018.46,4697.56
2,20000,0,0.656797,0.470021,0,0.470021,4700.21,0,4700.21,1412.43,3287.78
3,30000,0,1,0.709151,0,0.709151,7091.51,0,7091.51,2140.3,4951.21
4,40000,0,0.581698,0.443818,0,0.443818,4438.18,0,4438.18,1319.99,3118.19
5,50000,0,1,0.746942,0,0.746942,7469.42,0,7469.42,2230.11,5239.31
6,60000,0,0.506115,0.411704,0,0.411704,4117.04,0,4117.04,1231.77,2885.26
7,70000,0,1,0.784784,0,0.784784,7847.84,0,7847.84,2353.23,5494.61
8,80000,0,0.5,0.425886,0,0.425886,4258.86,0,4258.86,1273.01,2985.84
9,90000,0,1,0.822489,0,0.822489,8224.89,0,8224.89,2466.26,5758.63
10,100000,0,0.5,0.444703,0,0.444703,4447.03,0,4447.03,1341.9,3105.14
11,110000,0,1,0.860099,0,0.860099,8600.99,0,8600.99,2594.28,6006.71
