batch_p50,batch_p95,batch_p99,batch_qdel_p99,config,config_id,control_p50,control_p95,control_p99,control_qdel_p99,dvfs_epoch,exit_code,headroom_min,netrace_class_from_node_types,netrace_file,netrace_use_addr_size,offered_load_class0,offered_load_class1,output_dir,perf_target_value,policy,power_cap,run_name,stall_xbar_rate_class0,stall_xbar_rate_class1,tail_latency_ratio_batch_over_control,throughput_flits_class0,throughput_flits_class1,total_power_avg,total_power_peak,use_netrace
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,-0.437747,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.2,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.2_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-21ca7b126d,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,-0.337747,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.3,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.3_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-b6e3c2ce9d,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
16,41,59,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,15,39,58,0.0,10000,0,-0.237747,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.4,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.4_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-60e9cb1221,0.0339938,0.0245063,1.0172413793103448,0.242133,0.239478,0.464135,0.637747,1
13,35,48,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,13,32,45,0.0,10000,0,-0.137747,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.5,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.5_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-c6e0748722,0.0283188,0.0209375,1.0666666666666667,0.242168,0.239494,0.530219,0.637747,1
12,29,38,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,12,26,36,0.0,10000,0,-0.0543846,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.6,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.6_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-8e81ac6ca6,0.0146938,0.0138625,1.0555555555555556,0.193056,0.191611,0.628652,0.654385,1
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,0.0622528,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.7,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.7_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-d86b32592f,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,0.162253,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.8,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.8_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-855f9be7ca,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,0.262253,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.9,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.9_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace_-07a8b2c2cd,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
17,45,64,14.0,booksim2/runfiles/flatfly_hw_reactive_tuned.cfg,flatfly_hw_reactive_tuned,17,44,60,0.0,10000,0,-0.537747,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.1,0.1,booksim2/sims,40,hw_reactive,0.1,sweep_cfg-flatfly_hw_reactive_tuned_power_cap-0.10_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_netrace-8e40489786,0.0304,0.0228187,1.0666666666666667,0.1925,0.191178,0.444085,0.637747,1
17,49,70,14.0,booksim2/runfiles/flatfly_queue_pid_tuned_netrace.cfg,flatfly_queue_pid_tuned_netrace,17,45,65,0.0,10000,0,-0.437659,1,/home/nsutherland/wsc-noc-dvfs/sniper_trace_to_netrace/workloads/network_trace_merged.log.tra.bz2,1,0.6,0.6,booksim2/sims,40,queue_pid,0.2,sweep_cfg-flatfly_queue_pid_tuned_netrace_power_cap-0.2_dvfs_epoch-10000_use_netrace-1_netrace_file-sniper_trace_to_netrace-workloads-network_trace_merged.log.tra.bz2_ne-10049e0905,0.0417688,0.0341875,1.0769230769230769,0.192507,0.191194,0.444023,0.637659,1
